Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Al Baike - IFC Fry Chicken,"Fast Food, Burger",New,₹200 for two,0.0308999999999999,"Chowk, Lucknow","Exquisite Taste, Fresh Ingredients, Satisfying Portions"
Badnaam Shakes,"Cafe, Coffee, Pizza, Sandwich, Burger, Fast Food, Ice Cream, Beverages",-,₹550 for two,4.1,"Triveni Nagar, Lucknow","Ambience, Efficient Service, Delicious Food"
Shri Ghar Ki Rasoi,"North Indian, Street Food, Chinese, South Indian, Sandwich",New,₹300 for two,1.7,"Nirala Nagar, Lucknow","Friendly Staff, Exquisite Taste, Good Bartenders"
Mughlai Darbaar,"North Indian, Chinese, Mughlai, Momos",-,₹400 for two,4.2,"Aliganj, Lucknow","Customizable Dishes, Weekend Brunch, Creative Cuisine"
Baskin Robbins Happyness Shakes,"Shake, Beverages, Ice Cream, Desserts",-,₹500 for two,2.3,"Lalbagh, Lucknow","Good Music, Authentic Flavors, Staff"
Sudhir Dhaba,North Indian,-,₹250 for two,7.0,"Jankipuram, Lucknow","Ambiance, Quantity, Courteous Staff"
Hotel Cristelia,"North Indian, Mughlai, Biryani, Chinese, Desserts, Tea, Beverages",New,"₹1,100 for two",5.1,"Gomti Nagar, Lucknow","Warm Atmosphere, Delicious Food, Variety of Beer"
Chef Baker Factory,"Bakery, Desserts",-,₹300 for two,4.9,"Gomti Nagar, Lucknow","Quantity, Main Course, Memorable Experience"
B G Restaurants,"North Indian, Fast Food, Pizza, Chinese, Street Food",-,₹450 for two,11.2,"Gomti Nagar, Lucknow","Cozy Ambiance, Vintage Decor, Fresh Ingredients"
Taste Of Awadh,"North Indian, South Indian, Chinese",-,₹300 for two,6.6,"Gomti Nagar, Lucknow","Efficient Service, Hospitable Staff, Brewed Beer"
Mozzarella House,"Pizza, Fast Food, Beverages",-,₹350 for two,11.1,"Hazratganj, Lucknow","Well-priced Options, Good Bartenders, Sustainable Practices"
Khau Gali,"Lebanese, Sandwich, Fast Food",-,₹250 for two,4.5,"Chowk, Lucknow","Young Crowd, Courteous Staff, Diverse Menu"
I T Eating Cafe,"Pizza, Fast Food",-,₹500 for two,2.8,"Aliganj, Lucknow","Diverse Menu, Local Sourcing, Great for Dates"
Food O Clock,"Biryani, Mughlai",-,₹400 for two,4.6,"Indira Nagar, Lucknow","Hospitality, Vintage Decor, Delicious Food"
AN Pizza Club,Pizza,-,₹300 for two,6.4,"Jankipuram, Lucknow","Comfortable Seating, Quantity, Customizable Dishes"
Kalika Restaurant,"North Indian, Chinese, Lucknowi, Mughlai, Biryani, Fast Food, Sichuan",-,₹500 for two,12.3,"Aashiana, Lucknow","Good Bartenders, Main Course, Customizable Dishes"
Grilled Sandwich Cafe,"Fast Food, Shake, Sandwich, Beverages",-,₹300 for two,2.7,"Aliganj, Lucknow","Creative Cuisine, Staff, Breakfast"
Snacks & Desserts,"Fast Food, Beverages, Desserts, Bakery",-,₹200 for two,8.3,"Aashiana, Lucknow","Customizable Dishes, Great for Dates, Well-priced Options"
Gupta Tandoori Soya Chap,"North Indian, Momos, Pasta, Fast Food, Rolls, Chinese",-,₹300 for two,8.6,"Aashiana, Lucknow","Perfect Place, Local Sourcing, Fresh Ingredients"
Jai Maa Hotel & Restaurant,"North Indian, Chinese, Desserts",-,₹400 for two,4.2,"Charbagh, Lucknow","Perfect Place, Young Crowd, Weekend Brunch"
New Purvanchal Bhojnalaya,North Indian,New,₹200 for two,7.2,"Gomti Nagar, Lucknow","Exquisite Taste, Innovative Dishes, Young Crowd"
Vada Highway,Street Food,-,₹200 for two,7.8,"Alambagh, Lucknow","Innovative Dishes, Perfect Place, Diverse Menu"
Shubhi Dhaba,"North Indian, Chinese",-,₹400 for two,13.5,"Rajajipuram, Lucknow","Staff, Comfortable Seating, Peaceful Ambience"
System Chai Center,Tea,-,₹200 for two,4.4,"Gomti Nagar, Lucknow","Hospitality, Warm Atmosphere, Cozy Ambiance"
Samosa Chai,"North Indian, Chinese, Mughlai, Rolls, Shake",New,₹500 for two,5.3,"Jankipuram, Lucknow","Staff, Vintage Decor, Good Bartenders"
Chai NGO,"Fast Food, Burger, Pizza, Sandwich",-,₹400 for two,7.6,"Aashiana, Lucknow","Impeccable Presentation, Vintage Decor, Inviting Decor"
The Burger's.Com,"Burger, Sandwich, Pizza, Chinese, Momos, Fast Food, Shake, Beverages",-,₹450 for two,1.3,"Nirala Nagar, Lucknow","Clean Environment, Diverse Menu, Comfortable Seating"
Al Baik Fast And Food,"Fast Food, Burger, Beverages",-,₹300 for two,7.9,"Chowk, Lucknow","Perfect Place, Cafe, Hospitable Staff"
Grill House,"North Indian, Biryani, Chinese",New,₹350 for two,7.6,"Gomti Nagar, Lucknow","Warm Atmosphere, Innovative Dishes, Brewed Beer"
KDR Exotic Dining,"North Indian, Chinese, Biryani, Fast Food, Pasta, Mughlai",-,₹600 for two,8.9,"Aashiana, Lucknow","Comfortable Seating, Friendly Staff, Delicious Food"
Bombay Pizza Club,"Pizza, Burger",New,₹200 for two,6.8,"Rajajipuram, Lucknow","Well-priced Options, Cafe, Hospitality"
Prem Ras Restaurant,"Chinese, Pasta, Fast Food",New,₹350 for two,10.1,"Aashiana, Lucknow","Quantity, Customizable Dishes, Attentive Service"
Bhardwaj Restaurant And Resort,"North Indian, Fast Food",-,₹350 for two,9.3,"Kanpur Road, Lucknow","Ambience, Efficient Service, Perfect Place"
Robot Restaurant - The Yellow House,"North Indian, Chinese",3.9,"₹1,000 for two",2.3,"Aliganj, Lucknow","Authentic Flavors, Staff, Breakfast"
Desi Kalika Chulha,"Lucknowi, Mughlai",-,₹400 for two,10.4,"Gomti Nagar, Lucknow","Comfortable Seating, Peaceful Ambience, Great for Dates"
Riddhi Family Restaurant,"North Indian, Fast Food, Street Food, Chinese",-,₹200 for two,4.0,"Aliganj, Lucknow","Sustainable Practices, Good Bartenders, Cozy Ambiance"
New Annapurna,"North Indian, Biryani, Chinese, Rolls, Street Food, Beverages",New,₹300 for two,11.2,"Transport Nagar, Lucknow","Authentic Flavors, Cafe, Customizable Dishes"
Maa Shakambari Hotel,North Indian,New,₹300 for two,4.3,"Charbagh, Lucknow","Breakfast, Live Sports Screening, Trendy Setting"
Spice N Spicy,"Chinese, Momos",-,₹200 for two,2.3,"Mahanagar, Lucknow","Ambience, Impeccable Presentation, Delicious Food"
Padre Restro,"North Indian, Mughlai, Chinese, Fast Food, Beverages",New,₹450 for two,9.5,"Aashiana, Lucknow","Quantity, Satisfying Portions, Innovative Dishes"
Shekhu Biryani Corner,"Biryani, North Indian",-,₹200 for two,3.2,"Husain Ganj, Lucknow","Staff, Quantity, Authentic Flavors"
Brocode Cafe,"Chinese, Fast Food, Street Food, Pizza, Sandwich, Momos, Shake, Beverages",-,₹450 for two,2.2,"Aliganj, Lucknow","Friendly Staff, Great for Dates, Consistent Quality"
Marine Drive Cafe,"Chinese, North Indian, South Indian, Fast Food",-,₹450 for two,3.1,"Jopling Road, Lucknow","Local Sourcing, Satisfying Portions, Variety of Beer"
Panjabi Tadka,"South Indian, Fast Food, North Indian, Biryani, Beverages",-,₹300 for two,1.3,"Nirala Nagar, Lucknow","Great for Dates, Perfect Place, Satisfying Portions"
Vinci Da Pizza,"Pizza, Fast Food",-,₹400 for two,6.0,"Gomti Nagar, Lucknow","Inviting Decor, Clean Environment, Ambiance"
Zafran Handi,"Mughlai, North Indian, Kebab",-,₹600 for two,5.2,"Indira Nagar, Lucknow","Brewed Beer, Staff, Local Sourcing"
Mahi Paratha & Burger Point,"Burger, North Indian, Chinese, Wraps, Sandwich",-,₹300 for two,9.5,"Alambagh, Lucknow","Cozy Ambiance, Extensive Mocktail Menu, Live Sports Screening"
Annapoorneshwari Dhaba,North Indian,-,₹250 for two,21.5,"Aashiana, Lucknow","Sophisticated, Main Course, Good Bartenders"
Transport Dhaba,North Indian,-,₹250 for two,11.0,"Transport Nagar, Lucknow","Ambience, Sophisticated, Customizable Dishes"
Dukhiram Family Restaurant,"North Indian, Fast Food",-,₹250 for two,8.8,"Gomti Nagar, Lucknow","Breakfast, Cozy Ambiance, Inviting Decor"
Corporate Station,"Awadhi, Mughlai, North Indian",-,₹200 for two,8.1,"Aashiana, Lucknow","Variety of Beer, Impeccable Presentation, Local Sourcing"
We Eaters,Fast Food,-,₹300 for two,7.1,"Jankipuram, Lucknow","Hospitality, Seasonal Menu, Well-priced Options"
Flavourish Bites,"North Indian, Chinese, Biryani",-,₹450 for two,3.5,"Indira Nagar, Lucknow","Extensive Mocktail Menu, Staff, Authentic Flavors"
Arora Baker's,"Bakery, Fast Food",-,₹400 for two,12.6,"Transport Nagar, Lucknow","Cozy Ambiance, Live Sports Screening, Friendly Staff"
Mughal's,Chinese,-,₹500 for two,5.9,"Indira Nagar, Lucknow","Variety of Beer, Good Bartenders, Creative Cuisine"
Spicy Pizza,"Pizza, Fast Food, Street Food, Shake, Beverages",-,₹350 for two,5.3,"Aliganj, Lucknow","Satisfying Portions, Cozy Ambiance, Hospitality"
Shivpura Central Baba Bhog Restaurant,"North Indian, Street Food",-,₹150 for two,24.9,"Alambagh, Lucknow","Customizable Dishes, Brewed Beer, Ambience"
Angeethi Cafe & Family Restaurant,"South Indian, Chinese, Momos, Fast Food, Beverages",New,₹300 for two,7.0,"Madiyanva, Lucknow","Customizable Dishes, Extensive Mocktail Menu, Fresh Ingredients"
Triton Inn,"North Indian, Chinese, Mughlai, Street Food, Fast Food, Desserts",-,₹600 for two,6.9,"Gomti Nagar, Lucknow","Weekend Brunch, Memorable Experience, Local Sourcing"
Shivpura Central Baba Bhog,"North Indian, Street Food, Beverages",-,₹400 for two,24.9,"Kanpur Road, Lucknow","Hospitable Staff, Authentic Flavors, Hospitality"
Health Cafe,"Bakery, Fast Food, Cake",-,₹400 for two,4.1,"Khurram Nagar, Lucknow","Friendly Staff, Diverse Menu, Extensive Mocktail Menu"
MBA Food Wala,"North Indian, Chinese, Fast Food, Street Food",-,₹150 for two,6.7,"Gomti Nagar, Lucknow","Exquisite Taste, Sustainable Practices, Diverse Menu"
Hot Box Cafe & Family Restaurant,"Chinese, Pasta, Pizza, Fast Food, Shake, Beverages",New,₹250 for two,9.5,"Rajajipuram, Lucknow","Attentive Service, Brewed Beer, Innovative Dishes"
Galaxy Restaurent,"North Indian, South Indian, Chinese, Burger",-,₹250 for two,4.2,"Aminabad, Lucknow","Sophisticated, Great for Dates, Efficient Service"
Esselate's Al-Bake.Com,"Lucknowi, Fast Food",New,₹300 for two,6.5,"Jankipuram, Lucknow","Efficient Service, Consistent Quality, Perfect Place"
Shubharambh Restaurant,"South Indian, Chinese, Fast Food",-,₹400 for two,5.7,"Gomti Nagar, Lucknow","Good Bartenders, Warm Atmosphere, Local Sourcing"
Royal Taste,"Momos, Burger",-,₹200 for two,6.4,"Mahanagar, Lucknow","Staff, Ambience, Quantity"
Maa Vaishno Bhojnalaya,North Indian,New,₹300 for two,4.0,"Indira Nagar, Lucknow","Fresh Ingredients, Courteous Staff, Diverse Menu"
Cravings Cure Cafe,"Pizza, South Indian, Fast Food, Beverages, Sichuan",-,₹300 for two,4.7,"Indira Nagar, Lucknow","Innovative Dishes, Comfortable Seating, Delicious Food"
Mr. Veggiee,Fast Food,-,₹300 for two,3.3,"Khurram Nagar, Lucknow","Trendy Setting, Seasonal Menu, Cafe"
Chicken Lover's Point,"North Indian, Rolls",-,₹300 for two,7.7,"Gomti Nagar, Lucknow","Friendly Staff, Fresh Ingredients, Consistent Quality"
Shivganga Bakers,"Bakery, Desserts",-,₹650 for two,9.9,"Transport Nagar, Lucknow","Inviting Decor, Memorable Experience, Vintage Decor"
Sahu Bhojanalya,"North Indian, Desserts",New,₹250 for two,6.7,"Gomti Nagar, Lucknow","Inviting Decor, Courteous Staff, Attentive Service"
Ma Vaishnavi Fast Food Center,Fast Food,New,₹200 for two,6.5,"Rajajipuram, Lucknow","Well-priced Options, Seasonal Menu, Fresh Ingredients"
New Aafaan - Made By Aafaan,"North Indian, Chinese, Mughlai",-,₹400 for two,4.7,"Indira Nagar, Lucknow","Consistent Quality, Breakfast, Good Bartenders"
Bella Ciao Cafe,"Fast Food, Street Food, Bakery, Beverages",New,₹300 for two,2.1,"Aliganj, Lucknow","Sustainable Practices, Breakfast, Quantity"
Kohinoor Restaurant,North Indian,-,₹350 for two,4.6,"Aishbagh, Lucknow","Great Service, Efficient Service, Ambiance"
Kitchen Number 203,"Fast Food, Street Food, Momos, Beverages",-,₹350 for two,12.1,"Aashiana, Lucknow","Main Course, Hospitable Staff, Sustainable Practices"
Narayan Bhog Family Restaurant,"Fast Food, Pizza, Momos, Street Food, Beverages",New,₹350 for two,8.0,"Rajajipuram, Lucknow","Fresh Ingredients, Main Course, Local Sourcing"
Food Hub,"Chinese, Street Food",New,₹350 for two,4.5,"Aishbagh, Lucknow","Vintage Decor, Innovative Dishes, Hospitality"
Maa Chandrika Canteen,North Indian,-,₹250 for two,8.1,"Jankipuram, Lucknow","Main Course, Fresh Ingredients, Breakfast"
One Step Restaurant And Lounge,"Chinese, North Indian, Beverages",-,₹400 for two,10.8,"Gomti Nagar, Lucknow","Trendy Setting, Seasonal Menu, Staff"
Students Break Point,"Chinese, Street Food, Fast Food",-,₹300 for two,6.2,"Aliganj, Lucknow","Efficient Service, Breakfast, Brewed Beer"
Sudheer Dhaba,"North Indian, Chinese",-,₹300 for two,11.5,"Jankipuram, Lucknow","Inviting Decor, Good Bartenders, Quantity"
Kitchen Omega,"North Indian, Biryani, Mughlai",-,₹400 for two,4.5,"Indira Nagar, Lucknow","Extensive Mocktail Menu, Customizable Dishes, Delicious Food"
Manoj Eating Point,"Chinese, North Indian, Fast Food",-,₹550 for two,4.2,"Nirala Nagar, Lucknow","Breakfast, Great for Dates, Young Crowd"
The Spicy Table Restaurant,North Indian,-,₹200 for two,11.1,"Gomti Nagar, Lucknow","Main Course, Young Crowd, Ambiance"
Sindh Bakery,Bakery,-,₹400 for two,11.5,"Aashiana, Lucknow","Quantity, Main Course, Authentic Flavors"
Best Chef Point,"North Indian, Chinese, South Indian, Momos, Street Food",-,₹300 for two,8.4,"Gomti Nagar, Lucknow","Perfect Place, Warm Atmosphere, Hospitality"
Gupta Tea Stall,"Tea, North Indian",-,₹200 for two,6.7,"Alambagh, Lucknow","Well-priced Options, Warm Atmosphere, Seasonal Menu"
Apna Kitchen,North Indian,-,₹300 for two,3.9,"Gomti Nagar, Lucknow","Sophisticated, Variety of Beer, Creative Cuisine"
Italian Noodles,"North Indian, Fast Food, Momos, Pizza, Chinese, Beverages",-,₹300 for two,4.2,"Khurram Nagar, Lucknow","Memorable Experience, Good Music, Flavorful Creations"
Lucknowi Zaika,"Lucknowi, North Indian, Mughlai",New,₹550 for two,13.2,"Rajajipuram, Lucknow","Great for Dates, Authentic Flavors, Good Bartenders"
The Mughal's Al-baik,"North Indian, Mughlai",-,₹700 for two,4.7,"Indira Nagar, Lucknow","Extensive Mocktail Menu, Weekend Brunch, Courteous Staff"
Chinese Food Factory,"Chinese, Fast Food",-,₹200 for two,7.9,"Aashiana, Lucknow","Exquisite Taste, Trendy Setting, Perfect Place"
Badshah Veg And Non Veg Restaurant,North Indian,New,₹300 for two,5.4,"Indira Nagar, Lucknow","Authentic Flavors, Comfortable Seating, Hospitality"
Ambey Bhojanalya,"North Indian, Chinese",-,₹400 for two,3.5,"Indira Nagar, Lucknow","Sustainable Practices, Exquisite Taste, Ambience"
Lebanese Point Non Veg,"Lebanese, Shawarma",New,₹300 for two,3.1,"Khurram Nagar, Lucknow","Cafe, Exquisite Taste, Seasonal Menu"
Royale Asian,"Thai, Chinese, Momos",3.0,₹700 for two,10.0,"Gomti Nagar, Lucknow","Exquisite Taste, Delicious Food, Great Service"
The Twilight Kitchen & Bar,"North Indian, Oriental, Italian, Fast Food, Kebab, Mughlai, Desserts, Beverages",4.6,"₹1,700 for two",5.2,"Jankipuram, Lucknow","Perfect Place, Hospitable Staff, Young Crowd"
Sassy Canteen,"North Indian, Sushi, Chinese, Continental, Oriental, Rolls, Desserts",4.9,"₹1,400 for two",7.4,"Gomti Nagar, Lucknow","Peaceful Ambience, Consistent Quality, Sophisticated"
New Lucknow Kitchen,"North Indian, Chinese, South Indian, Fast Food, Seafood, Mughlai, Desserts, Beverages",4.0,"₹1,200 for two",5.3,"Jankipuram, Lucknow","Perfect Place, Satisfying Portions, Good Music"
Bellissimo,"Mughlai, Italian, Continental, North Indian",3.2,"₹1,800 for two",5.9,"Gomti Nagar, Lucknow","Well-priced Options, Friendly Staff, Attentive Service"
Tunday Kababi,"Kebab, North Indian, Mughlai, Biryani",4.4,₹300 for two,2.8,"Aminabad, Lucknow","Innovative Dishes, Live Sports Screening, Warm Atmosphere"
Naimat Khana,"Awadhi, North Indian, Beverages",4.5,₹950 for two,2.1,"Kaiserbagh, Lucknow","Brewed Beer, Diverse Menu, Attentive Service"
Moti Mahal,"North Indian, Chinese, South Indian, Street Food, Fast Food, BBQ, Desserts, Beverages",4.1,₹950 for two,1.9,"Hazratganj, Lucknow","Brewed Beer, Creative Cuisine, Friendly Staff"
Royal Sky,"North Indian, Mughlai, Chinese, Continental, Sichuan, Fast Food, Desserts, Beverages",4.3,"₹1,800 for two",1.8,"Hazratganj, Lucknow","Comfortable Seating, Hospitality, Ambience"
Unplugged Courtyard,"North Indian, Chinese, Continental, Desserts, Beverages",4.1,"₹2,500 for two",6.2,"Summit Building, Gomti Nagar, Lucknow","Extensive Mocktail Menu, Fresh Ingredients, Cozy Ambiance"
Woodpecker,"North Indian, Continental, Italian, Pizza, Fast Food, Shake, Desserts, Beverages",4.0,"₹2,000 for two",1.1,"Hazratganj, Lucknow","Memorable Experience, Breakfast, Good Bartenders"
The Cherry Tree Bakery & Cafe,"Cafe, Bakery, Continental, Fast Food, Pizza, Desserts, Beverages",4.1,"₹1,200 for two",1.6,"Hazratganj, Lucknow","Well-priced Options, Friendly Staff, Authentic Flavors"
The Hype Room,"Asian, Italian, BBQ, Continental, North Indian, European, Finger Food, Beverages",3.8,"₹3,000 for two",6.1,"Gomti Nagar, Lucknow","Consistent Quality, Delicious Food, Staff"
Royal Cafe - Royal Inn,"North Indian, BBQ, Mughlai, Continental, Chinese, Fast Food, Desserts, Beverages",4.2,"₹1,500 for two",0.989,"Royal Inn, Hazratganj, Lucknow","Hospitable Staff, Warm Atmosphere, Variety of Beer"
The Vault Disc And Lounge,"Continental, Chinese, Fast Food, Bar Food, Beverages, North Indian",4.2,"₹1,200 for two",4.2,"Khurram Nagar, Lucknow","Creative Cuisine, Vintage Decor, Cafe"
EDGE - Rooftop Bar & Lounge,Finger Food,4.1,"₹1,200 for two",7.4,"Novotel, Gomti Nagar, Lucknow","Authentic Flavors, Innovative Dishes, Attentive Service"
Chuck Bungalow,"Cafe, Fast Food, Chinese, Pizza, Sandwich, Momos, Desserts, Beverages",4.3,₹550 for two,8.9,"Gomti Nagar, Lucknow","Cafe, Innovative Dishes, Great Service"
The Terrace Grill - La Place Sarovar Portico,"North Indian, Continental, Mughlai, Oriental, Pizza, Beverages",4.3,"₹3,000 for two",1.3,"La Place Sarovar Portico, Hazratganj, Lucknow","Quantity, Creative Cuisine, Variety of Beer"
1936 - Saraca Lucknow,"Italian, Pasta, Pizza, Beverages, Desserts",4.5,"₹3,500 for two",1.4,"lebua Lucknow, Lucknow","Delicious Food, Cafe, Main Course"
Fusion Flavour,"North Indian, Biryani, Mughlai, Chinese, Sichuan",4.3,₹850 for two,3.1,"Aliganj, Lucknow","Attentive Service, Main Course, Friendly Staff"
Nucleus,"Continental, Chinese, Italian, Desserts",New,"₹1,800 for two",6.3,"Gomti Nagar, Lucknow","Sustainable Practices, Creative Cuisine, Courteous Staff"
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.9,₹500 for two,9.3,"Kanpur Road, Lucknow","Attentive Service, Satisfying Portions, Good Bartenders"
Saraca - Lucknow,North Indian,4.0,"₹1,400 for two",3.3,"lebua Lucknow, Lucknow","Customizable Dishes, Weekend Brunch, Great Service"
The Hazelnut Factory,"Bakery, Mithai, Pizza, Desserts, Fast Food, Cafe, Beverages, Street Food",4.1,₹900 for two,1.8,"Hazratganj, Lucknow","Customizable Dishes, Cozy Ambiance, Weekend Brunch"
Amigo's,"Fast Food, Street Food",4.1,₹400 for two,4.6,"Gomti Nagar, Lucknow","Main Course, Ambiance, Cafe"
26 Degree,"North Indian, Mughlai, South Indian, Pizza, Fast Food, Biryani, Desserts, Beverages",3.9,"₹1,200 for two",4.7,"Gomti Nagar, Lucknow","Trendy Setting, Cafe, Comfortable Seating"
The Mughal's Dastarkhwan,"Mughlai, Lucknowi, North Indian, Chinese",4.5,"₹1,100 for two",2.1,"Lalbagh, Lucknow","Good Music, Sustainable Practices, Quantity"
Groove Rooftop And Restro Bar,"North Indian, Mughlai, Kebab, Chinese, Salad, Pizza, Fast Food, Desserts",3.9,"₹1,400 for two",8.9,"Alambagh, Lucknow","Innovative Dishes, Main Course, Sophisticated"
Cube Bar - Casaya Inn,"North Indian, Chinese, Italian, Desserts, Beverages",4.9,"₹1,800 for two",7.7,"Gomti Nagar, Lucknow","Main Course, Live Sports Screening, Cafe"
Chai Sutta Bar,"Tea, Sandwich, Pizza, Burger, Street Food, Fast Food, Coffee, Beverages",3.8,₹250 for two,1.8,"Hazratganj, Lucknow","Hospitality, Peaceful Ambience, Good Bartenders"
The Golden Bakery,Bakery,3.6,₹350 for two,9.3,"Alambagh, Lucknow","Warm Atmosphere, Cozy Ambiance, Hospitable Staff"
